,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AHTGS,AATGS,AHTGC,AATGC,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,MW,DiffLP,HTGD,ATGD,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,DiffFormPts
0,19/8/2000,Charlton,Man City,4.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,18.0,18.0,1.0,0.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
1,19/8/2000,Chelsea,West Ham,4.0,2.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,5.0,9.0,1.0,-4.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
2,19/8/2000,Coventry,Middlesbrough,1.0,3.0,A,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,14.0,12.0,1.0,2.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
3,19/8/2000,Derby,Southampton,2.0,2.0,D,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,16.0,15.0,1.0,1.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
4,19/8/2000,Leeds,Everton,2.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,3.0,13.0,1.0,-10.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
5,19/8/2000,Leicester,Aston Villa,0.0,0.0,D,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,8.0,6.0,1.0,2.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
6,19/8/2000,Liverpool,Bradford,1.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,4.0,17.0,1.0,-13.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
7,19/8/2000,Sunderland,Arsenal,1.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,7.0,2.0,1.0,5.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
8,19/8/2000,Tottenham,Ipswich,3.0,1.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,10.0,18.0,1.0,-8.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
9,20/8/2000,Man United,Newcastle,2.0,0.0,H,0.0,0.0,0.0,0.0,0.0,0.0,Null,Null,Null,Null,Null,Null,1.0,11.0,1.0,-10.0,0.0,0.0,NullNullNull,NullNullNull,0,0,0.0
10,21/8/2000,Arsenal,Liverpool,2.0,0.0,H,0.0,1.0,1.0,0.0,0.0,1.5,L,Null,Null,W,Null,Null,2.0,4.0,2.0,-2.0,-0.5,0.5,LNullNull,WNullNull,0,3,-1.5
11,22/8/2000,Bradford,Chelsea,2.0,0.0,H,0.0,4.0,1.0,2.0,0.0,1.5,L,Null,Null,W,Null,Null,17.0,5.0,2.0,12.0,-0.5,1.0,LNullNull,WNullNull,0,3,-1.5
12,22/8/2000,Ipswich,Man United,1.0,1.0,D,1.0,2.0,3.0,0.0,0.0,1.5,L,Null,Null,W,Null,Null,18.0,1.0,2.0,17.0,-1.0,1.0,LNullNull,WNullNull,0,3,-1.5
13,22/8/2000,Middlesbrough,Tottenham,1.0,1.0,D,3.0,3.0,1.0,1.0,1.5,1.5,W,Null,Null,W,Null,Null,12.0,10.0,2.0,2.0,1.0,1.0,WNullNull,WNullNull,3,3,0.0
14,23/8/2000,Everton,Charlton,3.0,0.0,H,0.0,4.0,2.0,0.0,0.0,1.5,L,Null,Null,W,Null,Null,13.0,18.0,2.0,-5.0,-1.0,2.0,LNullNull,WNullNull,0,3,-1.5
15,23/8/2000,Man City,Sunderland,4.0,2.0,H,0.0,1.0,4.0,0.0,0.0,1.5,L,Null,Null,W,Null,Null,18.0,7.0,2.0,11.0,-2.0,0.5,LNullNull,WNullNull,0,3,-1.5
16,23/8/2000,Newcastle,Derby,3.0,2.0,H,0.0,2.0,2.0,2.0,0.0,0.5,L,Null,Null,D,Null,Null,11.0,16.0,2.0,-5.0,-1.0,0.0,LNullNull,DNullNull,0,1,-0.5
17,23/8/2000,Southampton,Coventry,1.0,2.0,A,2.0,1.0,2.0,3.0,0.5,0.0,D,Null,Null,L,Null,Null,15.0,14.0,2.0,1.0,0.0,-1.0,DNullNull,LNullNull,1,0,0.5
18,23/8/2000,West Ham,Leicester,0.0,1.0,A,2.0,0.0,4.0,0.0,0.0,0.5,L,Null,Null,D,Null,Null,9.0,8.0,2.0,1.0,-1.0,0.0,LNullNull,DNullNull,0,1,-0.5
19,26/8/2000,Arsenal,Charlton,5.0,3.0,H,0.0,4.0,1.0,0.0,0.0,1.5,L,Null,Null,W,Null,Null,2.0,18.0,2.0,-16.0,-0.5,2.0,LNullNull,WNullNull,0,3,-1.5
20,26/8/2000,Bradford,Leicester,0.0,0.0,D,2.0,1.0,1.0,0.0,1.0,1.3333333333333333,W,L,Null,W,D,Null,17.0,8.0,3.0,9.0,0.3333333333333333,0.3333333333333333,WLNull,WDNull,3,4,-0.3333333333333333
21,26/8/2000,Everton,Derby,2.0,2.0,D,3.0,4.0,2.0,5.0,1.0,0.3333333333333333,W,L,Null,L,D,Null,13.0,16.0,3.0,-3.0,0.3333333333333333,-0.3333333333333333,WLNull,LDNull,3,1,0.6666666666666666
22,26/8/2000,Ipswich,Sunderland,1.0,0.0,H,2.0,3.0,4.0,4.0,0.3333333333333333,1.0,D,L,Null,L,W,Null,18.0,7.0,3.0,11.0,-0.6666666666666666,-0.3333333333333333,DLNull,LWNull,1,3,-0.6666666666666666
23,26/8/2000,Man City,Coventry,1.0,2.0,A,4.0,3.0,6.0,4.0,1.0,1.0,W,L,Null,W,L,Null,18.0,14.0,3.0,4.0,-0.6666666666666666,-0.3333333333333333,WLNull,WLNull,3,3,0.0
24,26/8/2000,Middlesbrough,Leeds,1.0,2.0,A,4.0,4.0,2.0,1.0,1.3333333333333333,2.0,D,W,Null,W,W,Null,12.0,3.0,3.0,9.0,0.6666666666666666,1.0,DWNull,WWNull,4,6,-0.6666666666666666
25,26/8/2000,Newcastle,Tottenham,2.0,0.0,H,3.0,4.0,4.0,2.0,1.0,1.3333333333333333,W,L,Null,D,W,Null,11.0,10.0,3.0,1.0,-0.3333333333333333,0.6666666666666666,WLNull,DWNull,3,4,-0.3333333333333333
26,26/8/2000,Southampton,Liverpool,3.0,3.0,D,3.0,1.0,4.0,2.0,0.3333333333333333,1.0,L,D,Null,L,W,Null,15.0,4.0,3.0,11.0,-0.3333333333333333,-0.3333333333333333,LDNull,LWNull,1,3,-0.6666666666666666
27,26/8/2000,West Ham,Man United,2.0,2.0,D,2.0,3.0,5.0,1.0,0.0,1.3333333333333333,L,L,Null,D,W,Null,9.0,1.0,3.0,8.0,-1.0,0.6666666666666666,LLNull,DWNull,0,4,-1.3333333333333333
28,27/8/2000,Aston Villa,Chelsea,1.0,1.0,D,1.0,4.0,1.0,4.0,0.6666666666666666,1.0,D,D,Null,L,W,Null,6.0,5.0,3.0,1.0,0.0,0.0,DDNull,LWNull,2,3,-0.3333333333333333
29,5/9/2000,Leeds,Man City,1.0,2.0,A,4.0,4.0,1.0,6.0,2.0,1.0,W,W,Null,W,L,Null,3.0,18.0,3.0,-15.0,1.0,-0.6666666666666666,WWNull,WLNull,6,3,1.0
30,5/9/2000,Man United,Bradford,6.0,0.0,H,5.0,2.0,3.0,1.0,1.25,1.0,D,D,W,D,W,L,1.0,17.0,4.0,-16.0,0.5,0.25,DDW,DWL,5,4,0.25
31,5/9/2000,Sunderland,West Ham,1.0,1.0,D,3.0,4.0,5.0,7.0,0.75,0.25,L,L,W,D,L,L,7.0,9.0,4.0,-2.0,-0.5,-0.75,LLW,DLL,3,1,0.5
32,5/9/2000,Tottenham,Everton,3.0,2.0,H,4.0,5.0,4.0,4.0,1.0,1.0,L,D,W,D,W,L,10.0,13.0,4.0,-3.0,0.0,0.25,LDW,DWL,4,4,0.0
33,6/9/2000,Charlton,Southampton,1.0,1.0,D,7.0,6.0,8.0,7.0,0.75,0.5,L,L,W,D,L,D,18.0,15.0,4.0,3.0,-0.25,-0.25,LLW,DLD,3,2,0.25
34,6/9/2000,Chelsea,Arsenal,2.0,2.0,D,5.0,7.0,5.0,4.0,1.0,1.5,D,L,W,W,W,L,5.0,2.0,4.0,3.0,0.0,0.75,DLW,WWL,4,6,-0.5
35,6/9/2000,Coventry,Newcastle,0.0,2.0,A,5.0,5.0,5.0,4.0,1.5,1.5,W,W,L,W,W,L,14.0,11.0,4.0,3.0,0.0,0.25,WWL,WWL,6,6,0.0
36,6/9/2000,Derby,Middlesbrough,3.0,3.0,D,6.0,5.0,7.0,4.0,0.5,1.0,D,L,D,L,D,W,16.0,12.0,4.0,4.0,-0.25,0.25,DLD,LDW,2,4,-0.5
37,6/9/2000,Leicester,Ipswich,2.0,1.0,H,1.0,3.0,0.0,4.0,1.25,1.0,D,W,D,W,D,L,8.0,18.0,4.0,-10.0,0.25,-0.25,DWD,WDL,5,4,0.25
38,6/9/2000,Liverpool,Aston Villa,3.0,1.0,H,4.0,2.0,5.0,4.0,1.0,0.5,D,L,W,L,D,D,4.0,6.0,4.0,-2.0,-0.25,-0.5,DLW,LDD,4,2,0.5
39,9/9/2000,Bradford,Arsenal,1.0,1.0,D,2.0,7.0,1.0,4.0,1.0,1.5,D,W,L,W,W,L,17.0,2.0,4.0,15.0,0.25,0.75,DWL,WWL,4,6,-0.5
40,9/9/2000,Coventry,Leeds,0.0,0.0,D,5.0,5.0,7.0,3.0,1.2,1.4,L,W,W,D,L,W,14.0,3.0,5.0,11.0,-0.4,0.4,LWW,DLW,6,4,0.4
41,9/9/2000,Ipswich,Aston Villa,1.0,2.0,A,4.0,4.0,6.0,5.0,0.8,1.0,L,W,D,W,L,D,18.0,6.0,5.0,12.0,-0.4,-0.2,LWD,WLD,4,4,0.0
42,9/9/2000,Leicester,Southampton,1.0,0.0,H,3.0,7.0,1.0,8.0,1.6,0.6,W,D,W,D,D,L,8.0,15.0,5.0,-7.0,0.4,-0.2,WDW,DDL,7,2,1.0
43,9/9/2000,Liverpool,Man City,3.0,2.0,H,7.0,7.0,6.0,9.0,1.4,1.2,W,D,L,W,L,W,4.0,18.0,5.0,-14.0,0.2,-0.4,WDL,WLW,4,6,-0.4
44,9/9/2000,Man United,Sunderland,3.0,0.0,H,11.0,4.0,3.0,6.0,1.6,0.8,W,D,D,D,L,L,1.0,7.0,5.0,-6.0,1.6,-0.4,WDD,DLL,5,1,0.8
45,9/9/2000,Middlesbrough,Everton,1.0,2.0,A,8.0,7.0,7.0,7.0,1.0,0.8,D,L,D,L,D,W,12.0,13.0,5.0,-1.0,0.2,0.0,DLD,LDW,2,4,-0.4
46,9/9/2000,Newcastle,Chelsea,0.0,0.0,D,7.0,7.0,4.0,7.0,1.8,1.0,W,W,W,D,D,L,11.0,5.0,5.0,6.0,0.6,0.0,WWW,DDL,9,2,1.4
47,10/9/2000,Derby,Charlton,2.0,2.0,D,9.0,8.0,10.0,9.0,0.6,0.8,D,D,L,D,L,L,16.0,18.0,5.0,-2.0,-0.2,-0.2,DDL,DLL,2,1,0.2
48,11/9/2000,Tottenham,West Ham,1.0,0.0,H,7.0,5.0,6.0,8.0,1.4,0.4,W,L,D,D,D,L,10.0,9.0,5.0,1.0,0.2,-0.6,WLD,DDL,4,2,0.4
49,16/9/2000,Arsenal,Coventry,2.0,1.0,H,9.0,5.0,6.0,7.0,1.4,1.2,D,W,W,L,W,W,2.0,14.0,5.0,-12.0,0.6,-0.4,DWW,LWW,7,6,0.2
50,16/9/2000,Aston Villa,Bradford,2.0,0.0,H,6.0,3.0,5.0,8.0,1.3333333333333333,0.8333333333333334,W,W,L,D,L,D,6.0,17.0,6.0,-11.0,0.16666666666666666,-0.8333333333333334,WWL,DLD,6,2,0.6666666666666666
51,16/9/2000,Charlton,Tottenham,1.0,0.0,H,10.0,8.0,11.0,6.0,0.8333333333333334,1.6666666666666667,D,D,L,W,W,L,18.0,10.0,6.0,8.0,-0.16666666666666666,0.3333333333333333,DDL,WWL,2,6,-0.6666666666666666
52,16/9/2000,Everton,Man United,1.0,3.0,A,9.0,14.0,8.0,3.0,1.1666666666666667,1.8333333333333333,W,L,D,W,W,D,13.0,1.0,6.0,12.0,0.16666666666666666,1.8333333333333333,WLD,WWD,4,7,-0.5
53,16/9/2000,Leeds,Ipswich,1.0,2.0,A,6.0,5.0,5.0,8.0,1.1666666666666667,0.6666666666666666,L,D,L,L,L,W,3.0,18.0,6.0,-15.0,0.16666666666666666,-0.5,LDL,LLW,1,3,-0.3333333333333333
54,16/9/2000,Southampton,Newcastle,2.0,0.0,H,7.0,7.0,9.0,4.0,0.5,1.6666666666666667,L,D,D,D,W,W,15.0,11.0,6.0,4.0,-0.3333333333333333,0.5,LDD,DWW,2,7,-0.8333333333333334
55,16/9/2000,Sunderland,Derby,2.0,1.0,H,4.0,11.0,9.0,12.0,0.6666666666666666,0.6666666666666666,L,D,L,D,D,D,7.0,16.0,6.0,-9.0,-0.8333333333333334,-0.16666666666666666,LDL,DDD,1,3,-0.3333333333333333
56,17/9/2000,Chelsea,Leicester,0.0,2.0,A,7.0,4.0,7.0,1.0,1.0,1.8333333333333333,D,D,D,W,W,D,5.0,8.0,6.0,-3.0,0.0,0.5,DDD,WWD,3,7,-0.6666666666666666
57,17/9/2000,Man City,Middlesbrough,1.0,1.0,D,9.0,9.0,12.0,9.0,1.0,0.8333333333333334,L,W,L,L,D,L,18.0,12.0,6.0,6.0,-0.5,0.0,LWL,LDL,3,1,0.3333333333333333
58,17/9/2000,West Ham,Liverpool,1.0,1.0,D,5.0,10.0,9.0,8.0,0.3333333333333333,1.6666666666666667,L,D,D,W,W,D,9.0,4.0,6.0,5.0,-0.6666666666666666,0.3333333333333333,LDD,WWD,2,7,-0.8333333333333334
59,23/9/2000,Bradford,Southampton,0.0,1.0,A,3.0,7.0,8.0,9.0,0.8333333333333334,0.5,D,L,D,L,D,D,17.0,15.0,6.0,2.0,-0.8333333333333334,-0.3333333333333333,DLD,LDD,2,2,0.0
60,23/9/2000,Coventry,West Ham,0.0,3.0,A,6.0,6.0,9.0,10.0,1.0,0.42857142857142855,L,D,L,D,L,D,14.0,9.0,7.0,5.0,-0.42857142857142855,-0.5714285714285714,LDL,DLD,1,2,-0.14285714285714285
61,23/9/2000,Derby,Leeds,1.0,1.0,D,12.0,7.0,14.0,6.0,0.5714285714285714,1.1428571428571428,L,D,D,D,L,D,16.0,3.0,7.0,13.0,-0.2857142857142857,0.14285714285714285,LDD,DLD,2,2,0.0
62,23/9/2000,Ipswich,Arsenal,1.0,1.0,D,7.0,12.0,9.0,8.0,1.0,1.5714285714285714,W,L,L,W,D,D,18.0,2.0,7.0,16.0,-0.2857142857142857,0.5714285714285714,WLL,WDD,3,5,-0.2857142857142857
63,23/9/2000,Liverpool,Sunderland,1.0,1.0,D,11.0,6.0,9.0,10.0,1.5714285714285714,1.0,D,W,W,W,L,D,4.0,7.0,7.0,-3.0,0.2857142857142857,-0.5714285714285714,DWW,WLD,7,4,0.42857142857142855
64,23/9/2000,Man United,Chelsea,3.0,3.0,D,17.0,7.0,4.0,9.0,2.0,0.8571428571428571,W,W,W,L,D,D,1.0,5.0,7.0,-4.0,1.8571428571428572,-0.2857142857142857,WWW,LDD,9,2,1.0
65,23/9/2000,Middlesbrough,Aston Villa,1.0,1.0,D,10.0,7.0,10.0,6.0,0.8571428571428571,1.2857142857142858,D,L,D,D,W,W,12.0,6.0,7.0,6.0,0.0,0.14285714285714285,DLD,DWW,2,7,-0.7142857142857143
66,23/9/2000,Newcastle,Charlton,0.0,1.0,A,7.0,11.0,6.0,11.0,1.4285714285714286,1.1428571428571428,L,D,W,W,D,D,11.0,18.0,7.0,-7.0,0.14285714285714285,0.0,LDW,WDD,4,5,-0.14285714285714285
67,23/9/2000,Tottenham,Man City,0.0,0.0,D,8.0,10.0,7.0,13.0,1.4285714285714286,1.0,L,W,W,D,L,W,10.0,18.0,7.0,-8.0,0.14285714285714285,-0.42857142857142855,LWW,DLW,6,4,0.2857142857142857
68,24/9/2000,Leicester,Everton,1.0,1.0,D,6.0,10.0,1.0,11.0,2.0,1.0,W,W,W,L,W,L,8.0,13.0,7.0,-5.0,0.7142857142857143,-0.14285714285714285,WWW,LWL,9,3,0.8571428571428571
69,30/9/2000,Aston Villa,Derby,4.0,1.0,H,7.0,12.0,6.0,14.0,1.2857142857142858,0.5714285714285714,D,W,W,L,D,D,6.0,16.0,7.0,-10.0,0.14285714285714285,-0.2857142857142857,DWW,LDD,7,2,0.7142857142857143
70,30/9/2000,Charlton,Coventry,2.0,2.0,D,12.0,6.0,11.0,12.0,1.375,0.875,W,W,D,L,L,D,18.0,14.0,8.0,4.0,0.125,-0.75,WWD,LLD,7,1,0.75
71,30/9/2000,Everton,Ipswich,0.0,3.0,A,11.0,8.0,12.0,10.0,1.0,1.0,D,L,W,D,W,L,13.0,18.0,8.0,-5.0,-0.125,-0.25,DLW,DWL,4,4,0.0
72,30/9/2000,Leeds,Tottenham,4.0,3.0,H,11.0,8.0,9.0,7.0,1.375,1.375,W,D,L,D,L,W,3.0,10.0,8.0,-7.0,0.25,0.125,WDL,DLW,4,4,0.0
73,30/9/2000,Man City,Newcastle,0.0,1.0,A,10.0,7.0,13.0,7.0,1.0,1.25,D,D,L,L,L,D,18.0,11.0,8.0,7.0,-0.375,0.0,DDL,LLD,2,1,0.125
74,30/9/2000,Southampton,Middlesbrough,1.0,3.0,A,10.0,11.0,9.0,11.0,1.125,0.875,W,W,L,D,D,L,15.0,12.0,8.0,3.0,0.125,0.0,WWL,DDL,6,2,0.5
75,30/9/2000,West Ham,Bradford,1.0,1.0,D,9.0,3.0,10.0,11.0,0.75,0.625,W,D,L,L,L,D,9.0,17.0,8.0,-8.0,-0.125,-1.0,WDL,LLD,4,1,0.375
76,1/10/2000,Arsenal,Man United,1.0,0.0,H,13.0,20.0,9.0,7.0,1.5,1.875,D,W,D,D,W,W,2.0,1.0,8.0,1.0,0.5,1.625,DWD,DWW,5,7,-0.25
77,1/10/2000,Chelsea,Liverpool,3.0,0.0,H,10.0,12.0,12.0,10.0,0.875,1.5,D,L,D,D,D,W,5.0,4.0,8.0,1.0,-0.25,0.25,DLD,DDW,2,5,-0.375
78,1/10/2000,Sunderland,Leicester,0.0,0.0,D,7.0,7.0,11.0,2.0,1.0,1.875,D,W,L,D,W,W,7.0,8.0,8.0,-1.0,-0.5,0.625,DWL,DWW,4,7,-0.375
79,14/10/2000,Arsenal,Aston Villa,1.0,0.0,H,13.0,11.0,9.0,7.0,1.5,1.5,D,W,D,W,D,W,2.0,6.0,8.0,-4.0,0.5,0.5,DWD,WDW,5,7,-0.25
80,14/10/2000,Coventry,Tottenham,2.0,1.0,H,8.0,11.0,14.0,11.0,0.8888888888888888,1.2222222222222223,D,L,L,L,D,L,14.0,10.0,9.0,4.0,-0.6666666666666666,0.0,DLL,LDL,1,1,0.0
81,14/10/2000,Everton,Southampton,1.0,1.0,D,11.0,11.0,15.0,12.0,0.8888888888888888,1.0,L,D,L,L,W,W,13.0,15.0,9.0,-2.0,-0.4444444444444444,-0.1111111111111111,LDL,LWW,1,6,-0.5555555555555556
82,14/10/2000,Ipswich,West Ham,1.0,1.0,D,11.0,10.0,10.0,11.0,1.2222222222222223,0.7777777777777778,W,D,W,D,W,D,18.0,9.0,9.0,9.0,0.1111111111111111,-0.1111111111111111,WDW,DWD,7,5,0.2222222222222222
83,14/10/2000,Leeds,Charlton,3.0,1.0,H,14.0,14.0,10.0,13.0,1.5555555555555556,1.3333333333333333,W,W,D,D,W,W,3.0,18.0,9.0,-15.0,0.4444444444444444,0.1111111111111111,WWD,DWW,7,7,0.0
84,14/10/2000,Leicester,Man United,0.0,3.0,A,7.0,20.0,2.0,8.0,1.7777777777777777,1.6666666666666667,D,D,W,L,D,W,8.0,1.0,9.0,7.0,0.5555555555555556,1.3333333333333333,DDW,LDW,5,4,0.1111111111111111
85,14/10/2000,Man City,Bradford,2.0,0.0,H,10.0,4.0,14.0,12.0,0.8888888888888888,0.6666666666666666,L,D,D,D,L,L,18.0,17.0,9.0,1.0,-0.4444444444444444,-0.8888888888888888,LDD,DLL,2,1,0.1111111111111111
86,14/10/2000,Sunderland,Chelsea,1.0,0.0,H,7.0,13.0,11.0,12.0,1.0,1.1111111111111112,D,D,W,W,D,L,7.0,5.0,9.0,2.0,-0.4444444444444444,0.1111111111111111,DDW,WDL,5,4,0.1111111111111111
87,15/10/2000,Derby,Liverpool,0.0,4.0,A,14.0,12.0,19.0,13.0,0.5555555555555556,1.3333333333333333,L,D,L,L,D,D,16.0,4.0,9.0,12.0,-0.5555555555555556,-0.1111111111111111,LDL,LDD,1,2,-0.1111111111111111
88,16/10/2000,Middlesbrough,Newcastle,1.0,3.0,A,14.0,8.0,12.0,7.0,1.1111111111111112,1.4444444444444444,W,D,D,W,L,L,12.0,11.0,9.0,1.0,0.2222222222222222,0.1111111111111111,WDD,WLL,5,3,0.2222222222222222
89,21/10/2000,Bradford,Ipswich,0.0,2.0,A,4.0,11.0,12.0,10.0,0.6666666666666666,1.2222222222222223,D,L,L,W,D,W,17.0,18.0,9.0,-1.0,-0.8888888888888888,0.1111111111111111,DLL,WDW,1,7,-0.6666666666666666
90,21/10/2000,Charlton,Middlesbrough,1.0,0.0,H,15.0,15.0,16.0,15.0,1.2,1.0,L,D,W,L,W,D,18.0,12.0,10.0,6.0,-0.1,0.0,LDW,LWD,4,4,0.0
91,21/10/2000,Chelsea,Coventry,6.0,1.0,H,13.0,10.0,13.0,15.0,1.0,1.1,L,W,D,W,D,L,5.0,14.0,10.0,-9.0,0.0,-0.5,LWD,WDL,4,4,0.0
92,21/10/2000,Liverpool,Leicester,1.0,0.0,H,16.0,7.0,13.0,5.0,1.5,1.6,W,L,D,L,D,D,4.0,8.0,10.0,-4.0,0.3,0.2,WLD,LDD,4,2,0.2
93,21/10/2000,Man United,Leeds,3.0,0.0,H,23.0,14.0,8.0,13.0,1.8,1.4,W,L,D,L,W,W,1.0,3.0,10.0,-2.0,1.5,0.1,WLD,LWW,4,6,-0.2
94,21/10/2000,Newcastle,Everton,0.0,1.0,A,11.0,12.0,8.0,16.0,1.6,0.9,W,W,L,D,L,D,11.0,13.0,10.0,-2.0,0.3,-0.4,WWL,DLD,6,2,0.4
95,21/10/2000,Tottenham,Derby,3.0,1.0,H,12.0,14.0,13.0,23.0,1.1,0.5,L,L,D,L,L,D,10.0,16.0,10.0,-6.0,-0.1,-0.9,LLD,LLD,1,1,0.0
96,21/10/2000,West Ham,Arsenal,1.0,2.0,A,11.0,15.0,12.0,9.0,0.8,1.8,D,D,W,W,W,D,9.0,2.0,10.0,7.0,-0.1,0.6,DDW,WWD,5,7,-0.2
97,22/10/2000,Aston Villa,Sunderland,0.0,0.0,D,11.0,8.0,8.0,11.0,1.3,1.2,D,L,W,W,D,D,6.0,7.0,10.0,-1.0,0.3,-0.3,DLW,WDD,4,5,-0.1
98,23/10/2000,Southampton,Man City,0.0,2.0,A,12.0,12.0,13.0,14.0,1.0,1.1,D,L,W,W,L,D,15.0,18.0,10.0,-3.0,-0.1,-0.2,DLW,WLD,4,4,0.0
99,28/10/2000,Arsenal,Man City,5.0,0.0,H,15.0,12.0,9.0,14.0,1.8,1.1,W,W,D,W,L,D,2.0,18.0,10.0,-16.0,0.6,-0.2,WWD,WLD,7,4,0.3
100,28/10/2000,Aston Villa,Charlton,2.0,1.0,H,13.0,16.0,9.0,16.0,1.4545454545454546,1.3636363636363635,W,D,L,W,L,D,6.0,18.0,11.0,-12.0,0.36363636363636365,0.0,WDL,WLD,4,4,0.0
101,28/10/2000,Chelsea,Tottenham,3.0,0.0,H,19.0,15.0,14.0,14.0,1.1818181818181819,1.2727272727272727,W,L,W,W,L,L,5.0,10.0,11.0,-5.0,0.45454545454545453,0.09090909090909091,WLW,WLL,6,3,0.2727272727272727
102,28/10/2000,Ipswich,Middlesbrough,2.0,1.0,H,14.0,15.0,11.0,16.0,1.3636363636363635,0.9090909090909091,W,D,W,L,L,W,18.0,12.0,11.0,6.0,0.2727272727272727,-0.09090909090909091,WDW,LLW,7,3,0.36363636363636365
